,x,y,z
1552,136446.9472,1419326.09185,83.04235
1553,136446.4104,1419325.9942500002,83.03015
1554,136444.9098,1419326.01255,83.1247
1555,136445.46185,1419326.11015,83.10640000000001
1556,136448.7162,1419326.7018499998,83.07589999999999
1557,136449.2652,1419326.79945,83.0454
1558,136451.9858,1419327.2844,82.83189999999999
1559,136452.53175,1419327.382,82.7892
1560,136453.08685,1419327.4826500001,82.79835000000001
1561,136453.6206,1419327.5772,82.74345000000001
1562,136454.72470000002,1419327.7907,83.03015
1563,136455.84100000001,1419328.00115,83.23755
1564,136458.01870000002,1419328.39155,83.09115
1565,136458.5738,1419328.48915,83.04235
1566,136461.87085,1419329.0930499998,83.10945
1567,136462.4229,1419329.1937,83.15214999999999
1568,136462.96885,1419329.2943499999,83.1918
1569,136463.51785,1419329.395,83.17045
